  0.25   300  -15.0  0.0  1.69897 3.47712125471970  2.0  3.9542425094393
 -5.74316 -5.72538 -5.70759 -5.68981 -5.67203 -5.65425 -5.63647 -5.61869 -5.60090 -5.58312
 -5.56534 -5.54756 -5.52978 -5.51200 -5.49422 -5.47643 -5.45865 -5.44087 -5.42309 -5.40531
 -5.38753 -5.36974 -5.35196 -5.33418 -5.31640 -5.29862 -5.28084 -5.26306 -5.24527 -5.22749
 -5.20971 -5.19193 -5.17415 -5.15637 -5.13859 -5.12080 -5.10302 -5.08524 -5.06746 -5.04968
 -5.03190 -5.01411 -4.99633 -4.97855 -4.96077 -4.94299 -4.92521 -4.90743 -4.88964 -4.87186
 -4.85408 -4.83630 -4.81852 -4.80074 -4.78296 -4.76517 -4.74739 -4.72961 -4.71183 -4.69405
 -4.67627 -4.65848 -4.64070 -4.62292 -4.60514 -4.58736 -4.56958 -4.55180 -4.53401 -4.51623
 -4.49845 -4.48067 -4.46289 -4.44511 -4.42714 -4.40903 -4.39039 -4.37050 -4.34773 -4.31889
 -4.27853 -4.22035 -4.14388 -4.06440 -4.00542 -3.97052 -3.94743 -3.92814 -3.90993 -3.89202
 -3.87420 -3.85641 -3.83862 -3.82084 -3.80306 -3.78527 -3.76749 -3.74971 -3.73193 -3.71415
 -5.69215 -5.67437 -5.65658 -5.63879 -5.62100 -5.60322 -5.58543 -5.56764 -5.54985 -5.53207
 -5.51428 -5.49649 -5.47870 -5.46092 -5.44313 -5.42534 -5.40756 -5.38977 -5.37198 -5.35419
 -5.33641 -5.31862 -5.30083 -5.28304 -5.26526 -5.24747 -5.22968 -5.21189 -5.19411 -5.17632
 -5.15853 -5.14074 -5.12296 -5.10517 -5.08738 -5.06959 -5.05181 -5.03402 -5.01623 -4.99845
 -4.98066 -4.96287 -4.94508 -4.92730 -4.90951 -4.89172 -4.87393 -4.85615 -4.83836 -4.82057
 -4.80278 -4.78500 -4.76721 -4.74942 -4.73163 -4.71385 -4.69606 -4.67827 -4.66049 -4.64270
 -4.62491 -4.60712 -4.58934 -4.57155 -4.55376 -4.53597 -4.51819 -4.50040 -4.48261 -4.46482
 -4.44704 -4.42925 -4.41146 -4.39367 -4.37569 -4.35757 -4.33891 -4.31898 -4.29615 -4.26719
 -4.22669 -4.16840 -4.09197 -4.01271 -3.95391 -3.91904 -3.89594 -3.87664 -3.85841 -3.84050
 -3.82267 -3.80487 -3.78708 -3.76929 -3.75150 -3.73371 -3.71593 -3.69814 -3.68035 -3.66256
 -5.64115 -5.62336 -5.60556 -5.58777 -5.56998 -5.55218 -5.53439 -5.51660 -5.49880 -5.48101
 -5.46322 -5.44542 -5.42763 -5.40984 -5.39204 -5.37425 -5.35646 -5.33866 -5.32087 -5.30308
 -5.28528 -5.26749 -5.24970 -5.23191 -5.21411 -5.19632 -5.17853 -5.16073 -5.14294 -5.12515
 -5.10735 -5.08956 -5.07177 -5.05397 -5.03618 -5.01839 -5.00059 -4.98280 -4.96501 -4.94721
 -4.92942 -4.91163 -4.89383 -4.87604 -4.85825 -4.84045 -4.82266 -4.80487 -4.78707 -4.76928
 -4.75149 -4.73369 -4.71590 -4.69811 -4.68031 -4.66252 -4.64473 -4.62693 -4.60914 -4.59135
 -4.57355 -4.55576 -4.53797 -4.52018 -4.50238 -4.48459 -4.46680 -4.44900 -4.43121 -4.41342
 -4.39562 -4.37783 -4.36004 -4.34224 -4.32425 -4.30611 -4.28744 -4.26746 -4.24456 -4.21550
 -4.17486 -4.11646 -4.04008 -3.96103 -3.90240 -3.86756 -3.84444 -3.82513 -3.80690 -3.78897
 -3.77114 -3.75333 -3.73553 -3.71774 -3.69995 -3.68215 -3.66436 -3.64657 -3.62877 -3.61098
 -5.59015 -5.57235 -5.55455 -5.53675 -5.51895 -5.50115 -5.48335 -5.46555 -5.44775 -5.42995
 -5.41216 -5.39436 -5.37656 -5.35876 -5.34096 -5.32316 -5.30536 -5.28756 -5.26976 -5.25196
 -5.23416 -5.21636 -5.19857 -5.18077 -5.16297 -5.14517 -5.12737 -5.10957 -5.09177 -5.07397
 -5.05617 -5.03837 -5.02057 -5.00278 -4.98498 -4.96718 -4.94938 -4.93158 -4.91378 -4.89598
 -4.87818 -4.86038 -4.84258 -4.82478 -4.80699 -4.78919 -4.77139 -4.75359 -4.73579 -4.71799
 -4.70019 -4.68239 -4.66459 -4.64679 -4.62899 -4.61119 -4.59340 -4.57560 -4.55780 -4.54000
