   0.2500000000000000             300  -7.000000000000000    
    3.500000000000000       2.100000000000000       5.000000000000000    
    3.000000000000000       7.000000000000000    
  2.65785  2.68685  2.71585  2.74485  2.77385  2.80285  2.83185  2.86085  2.88985  2.91885
  2.94785  2.97685  3.00585  3.03485  3.06385  3.09285  3.12185  3.15085  3.17985  3.20885
  3.23785  3.26685  3.29585  3.32485  3.35385  3.38285  3.41185  3.44085  3.46985  3.49885
  3.52785  3.55685  3.58585  3.61485  3.64386  3.67286  3.70187  3.73089  3.75998  3.78921
  3.81882  3.84929  3.88165  3.91774  3.96054  4.01378  4.08086  4.15816  4.23749  4.30520
  4.35769  4.39732  4.43095  4.46192  4.49174  4.52113  4.55032  4.57944  4.60857  4.63779
  4.66722  4.69714  4.72803  4.76050  4.79511  4.83401  4.88032  4.93574  4.99785  5.06495
  5.13545  5.20148  5.25861  5.30541  5.34482  5.38037  5.41446  5.44786  5.48045  5.51198
  5.54240  5.57223  5.60176  5.63114  5.66047  5.68986  5.71951  5.74988  5.78142  5.81397
  5.84661  5.87834  5.90877  5.93862  5.96809  5.99738  6.02658  6.05573  6.08485  6.11396
  2.69585  2.72489  2.75393  2.78296  2.81200  2.84104  2.87007  2.89911  2.92815  2.95718
  2.98622  3.01526  3.04429  3.07333  3.10237  3.13140  3.16044  3.18948  3.21851  3.24755
  3.27659  3.30562  3.33466  3.36370  3.39273  3.42177  3.45081  3.47984  3.50888  3.53792
  3.56695  3.59599  3.62503  3.65406  3.68310  3.71214  3.74119  3.77026  3.79939  3.82868
  3.85839  3.88905  3.92173  3.95840  4.00213  4.05662  4.12498  4.20279  4.28150  4.34764
  4.39883  4.43769  4.47107  4.50194  4.53176  4.56116  4.59038  4.61954  4.64871  4.67799
  4.70750  4.73756  4.76865  4.80135  4.83631  4.87603  4.92343  4.97959  5.04203  5.10973
  5.18009  5.24524  5.30124  5.34722  5.38613  5.42160  5.45564  5.48899  5.52154  5.55296
  5.58334  5.61318  5.64273  5.67214  5.70152  5.73097  5.76073  5.79129  5.82302  5.85569
  5.88826  5.91971  5.95022  5.98006  6.00954  6.03885  6.06808  6.09726  6.12642  6.15557
  2.73385  2.76293  2.79200  2.82107  2.85015  2.87922  2.90829  2.93737  2.96644  2.99551
  3.02459  3.05366  3.08273  3.11181  3.14088  3.16995  3.19903  3.22810  3.25717  3.28625
  3.31532  3.34439  3.37347  3.40254  3.43161  3.46069  3.48976  3.51883  3.54791  3.57698
  3.60605  3.63513  3.66420  3.69327  3.72235  3.75143  3.78051  3.80962  3.83880  3.86816
  3.89798  3.92883  3.96186  3.99913  4.04381  4.09959  4.16908  4.24743  4.32522  4.39000
  4.43982  4.47804  4.51116  4.54195  4.57177  4.60119  4.63044  4.65964  4.68886  4.71819
  4.74780  4.77799  4.80929  4.84222  4.87760  4.91817  4.96664  5.02341  5.08621  5.15457
  5.22456  5.28889  5.34374  5.38894  5.42742  5.46282  5.49680  5.53011  5.56261  5.59393
  5.62428  5.65411  5.68369  5.71314  5.74256  5.77209  5.80196  5.83273  5.86464  5.89740
  5.92991  5.96123  5.99166  6.02148  6.05098  6.08031  6.10958  6.13880  6.16800  6.19718
  2.77185  2.80096  2.83007  2.85918  2.88829  2.91740  2.94651  2.97562  3.00473  3.03384
  3.06295  3.09206  3.12117  3.15028  3.17939  3.20850  3.23761  3.26672  3.29583  3.32494
  3.35405  3.38316  3.41227  3.44138  3.47049  3.49960  3.52871  3.55782  3.58693  3.61604
  3.64515  3.67426  3.70337  3.73248  3.76160  3.79071  3.81983  3.84898  3.87821  3.90765
  3.93758  3.96863  4.00202  4.03993  4.08558  4.14269  4.21317  4.29204  4.36868  4.43226
  4.48069  4.51837  4.55124  4.58196  4.61178  4.64122  4.67051  4.69974  4.72901  4.75840
  4.78810  4.81844  4.84994  4.88309  4.91896  4.96043  5.00991  5.06718  5.13043  5.19941
  5.26888  5.33242  5.38613  5.43059  5.46870  5.50401  5.53794  5.57122  5.60367  5.63488
  5.66521  5.69505  5.72465  5.75414  5.78361  5.81321  5.84321  5.87417  5.90627  5.93910
  5.97153  6.00272  6.03310  6.06290  6.09241  6.12178  6.15108  6.18034  6.20957  6.23879
  2.80985  2.83900  2.86815  2.89729  2.92644  2.95559  2.98473  3.01388  3.04303  3.07217
  3.10132  3.13047  3.15961  3.18876  3.21791  3.24705  3.27620  3.30535  3.33449  3.36364
  3.39279  3.42193  3.45108  3.48023  3.50937  3.53852  3.56767  3.59681  3.62596  3.65511
  3.68425  3.71340  3.74255  3.77169  3.80084  3.82999  3.85915  3.88835  3.91763  3.94714
  3.97719  4.00845  4.04224  4.08081  4.12743  4.18592  4.25728  4.33657  4.41197  4.47438
  4.52145  4.55867  4.59131  4.62196  4.65179  4.68125  4.71057  4.73984  4.76916  4.79862
  4.82841  4.85891  4.89061  4.92398  4.96043  5.00280  5.05320  5.11093  5.17472  5.24418
  5.31308  5.37576  5.42842  5.47216  5.50998  5.54518  5.57907  5.61233  5.64470  5.67582
  5.70613  5.73598  5.76561  5.79514  5.82466  5.85433  5.88449  5.91563  5.94791  5.98077
  6.01313  6.04419  6.07453  6.10432  6.13385  6.16324  6.19258  6.22187  6.25114  6.28040
  2.84785  2.87704  2.90622  2.93540  2.96459  2.99377  3.02295  3.05214  3.08132  3.11050
  3.13969  3.16887  3.19805  3.22724  3.25642  3.28560  3.31479  3.34397  3.37315  3.40234
